gene_id,symbol,log2FoldChange_for_signature,padj,direction
ENSG00000147123.10,NDUFB11,-0.5604532813273544,7.255828436121596e-5,down
ENSG00000102225.15,CDK16,-0.5460575050534168,9.40813377526817e-5,down
ENSG00000147155.10,EBP,0.5678669674165656,4.737084646292428e-4,up
ENSG00000102103.15,PQBP1,-0.5401176704558722,6.27679830761487e-8,down
ENSG00000147144.12,CCDC120,-0.5044242431669528,0.07174366462257804,down
ENSG00000243279.3,PRAF2,-0.7761672009902166,0.012285793372835252,down
ENSG00000179222.17,MAGED1,0.6064959832639609,0.0019501660594071775,up
ENSG00000102316.16,MAGED2,0.6094391365563778,1.6081280174852963e-4,up
ENSG00000186787.8,SPIN2B,0.6992646654404882,4.976125195082893e-6,up
ENSG00000184675.9,AMER1,0.7650054909481606,0.032494332524557856,up
ENSG00000169083.16,AR,0.7983678645822155,0.0029577810202901177,up
ENSG00000181191.11,PJA1,1.0194653525798807,0.008352467193642066,up
ENSG00000198034.10,RPS4X,-0.5460930625757258,1.187142822082669e-9,down
ENSG00000186462.8,NAP1L2,1.5462561267087969,6.305412832977897e-4,up
ENSG00000198157.10,HMGN5,1.2659868435437345,7.702894954278103e-5,up
ENSG00000257529.5,RPL36A-HNRNPH2,-0.5747462157509163,1.856405711101379e-5,down
ENSG00000126945.8,HNRNPH2,0.6204451596349254,3.925809194534711e-5,up
ENSG00000198960.10,ARMCX6,0.6279766052108521,0.0056767141170556605,up
ENSG00000158301.18,GPRASP2,1.1945717274808403,0.015623882018946387,up
ENSG00000133134.11,BEX2,0.8913231501965279,0.023087911909552224,up
ENSG00000166681.13,BEX3,0.7880561203373428,2.812063526316155e-11,up
ENSG00000196507.10,TCEAL3,0.824310654156389,1.5753953099605021e-4,up
ENSG00000101901.11,ALG13,-0.5156749155320202,0.0035430093535361346,down
ENSG00000198918.7,RPL39,-0.6866341077998269,4.823575226454361e-25,down
ENSG00000231501.1,MTND4LP1,-0.793097079693398,0.06087330758201004,down
ENSG00000085185.15,BCORL1,0.5489849526992728,0.08908271885206974,up
ENSG00000212747.4,FAM127C,0.8482871632484721,1.8120026894703967e-4,up
ENSG00000147394.18,ZNF185,-0.6209656916517801,0.022424499015994418,down
ENSG00000235961.5,PNMA6A,1.5280064856537814,0.003675013429590811,up
ENSG00000130821.15,SLC6A8,0.8509610077422862,0.012577896223760996,up
ENSG00000177854.7,TMEM187,0.6254546952487229,0.020959651384516026,up
ENSG00000169057.21,MECP2,0.540954667441695,0.030380314963917337,up
ENSG00000102119.10,EMD,-0.6936181910648418,6.9255602604814e-5,down
ENSG00000130826.17,DKC1,-0.6163012353989766,6.339929658549509e-14,down
ENSG00000237801.6,AMD1P2,0.9423330812697674,0.05466815074389858,up
ENSG00000099725.14,PRKY,3.1127637741506984,0.021908403160320174,up
ENSG00000198888.2,MT-ND1,-1.1931922466333689,1.1610837854682981e-4,down
ENSG00000198763.3,MT-ND2,-1.092636513320615,3.2995339773765424e-4,down
ENSG00000198804.2,MT-CO1,-1.0763492206852503,2.0510934829265533e-10,down
ENSG00000198712.1,MT-CO2,-1.0829157843718078,6.417546132208234e-9,down
